window,regime,months,calls,hits,accuracy,down_calls,down_hits,down_precision,normal_down_recall,sudden_drop_events,sudden_down_calls,sudden_down_precision,sudden_drop_recall,replacement_calls,abstained_down_candidates,policy,down_threshold,down_margin,maximum_replacements
120_179,all,60,1071,674,0.6293183940242764,102,52,0.5098039215686274,0.05053449951409135,39,0,,0.0,94,230,permissive,0.55,0.0,3
120_179,calm,7,126,71,0.5634920634920635,8,3,0.375,0.021739130434782608,1,0,,0.0,8,8,permissive,0.55,0.0,3
120_179,mixed,40,714,473,0.6624649859943977,57,26,0.45614035087719296,0.042071197411003236,18,0,,0.0,56,102,permissive,0.55,0.0,3
120_179,stressed,13,231,130,0.5627705627705628,37,23,0.6216216216216216,0.08424908424908426,20,0,,0.0,30,120,permissive,0.55,0.0,3
180_219,all,40,675,385,0.5703703703703704,132,64,0.48484848484848486,0.07911001236093942,34,0,,0.0,120,394,permissive,0.55,0.0,3
180_219,calm,7,127,70,0.5511811023622047,21,14,0.6666666666666666,0.08641975308641975,5,0,,0.0,21,43,permissive,0.55,0.0,3
180_219,mixed,21,349,196,0.5616045845272206,63,27,0.42857142857142855,0.06633906633906633,13,0,,0.0,63,153,permissive,0.55,0.0,3
180_219,stressed,12,199,119,0.5979899497487438,48,23,0.4791666666666667,0.09583333333333334,16,0,,0.0,36,198,permissive,0.55,0.0,3
220_266,all,47,799,483,0.60450563204005,131,58,0.44274809160305345,0.06170212765957447,140,8,1.0,0.05714285714285714,119,320,permissive,0.55,0.0,3
220_266,calm,13,229,123,0.537117903930131,30,11,0.36666666666666664,0.03767123287671233,39,0,,0.0,30,40,permissive,0.55,0.0,3
220_266,mixed,24,403,257,0.6377171215880894,59,23,0.3898305084745763,0.053613053613053616,69,3,1.0,0.043478260869565216,59,111,permissive,0.55,0.0,3
220_266,stressed,10,167,103,0.6167664670658682,42,24,0.5714285714285714,0.1095890410958904,32,5,1.0,0.15625,30,169,permissive,0.55,0.0,3
