risk_penalty,down_risk_bonus,context_role_bonus,minimum_down_calls_met,months,calls,hits,accuracy,up_calls,down_calls,down_hits,down_accuracy,changed_calls
0.1,0.025,0.1,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.05,0.0,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,196
0.1,0.05,0.05,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.05,0.075,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.05,0.1,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.075,0.0,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,196
0.1,0.075,0.05,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.075,0.075,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.075,0.1,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.1,0.0,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,196
0.1,0.1,0.05,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.1,0.075,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.1,0.1,0.1,True,60,900,562,0.6244444444444445,886,14,10,0.7142857142857143,194
0.075,0.0,0.0,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.0,0.05,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,151
0.075,0.0,0.075,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.0,0.1,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.025,0.0,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.025,0.05,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,151
0.075,0.025,0.075,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.025,0.1,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.05,0.0,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.05,0.05,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,151
0.075,0.05,0.075,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.05,0.1,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.075,0.0,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.075,0.05,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,151
0.075,0.075,0.075,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.075,0.1,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.1,0.0,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.1,0.05,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,151
0.075,0.1,0.075,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
0.075,0.1,0.1,True,60,900,561,0.6233333333333333,886,14,10,0.7142857142857143,152
