family,feature_set,logistic_c,minimum_local_rows,local_weight,fallback_rate,months,calls,hits,accuracy,monthly_mean,monthly_median,monthly_std,up_calls,down_calls,hits_vs_baseline
pure_local,core8,0.25,36,1.0,0.07724425887265135,60,900,560,0.6222222222222222,0.6222222222222221,0.6666666666666666,0.27574017264864364,900,0,-19
fixed_shrinkage,core8,0.25,36,0.1,0.07724425887265135,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.2951884499209436,900,0,-5
fixed_shrinkage,core8,0.25,36,0.2,0.07724425887265135,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.2926575849373178,900,0,-10
fixed_shrinkage,core8,0.25,36,0.3,0.07724425887265135,60,900,576,0.64,0.6400000000000001,0.6666666666666666,0.28316212840076616,900,0,-3
fixed_shrinkage,core8,0.25,36,0.4,0.07724425887265135,60,900,576,0.64,0.6400000000000001,0.7,0.2873870858264367,900,0,-3
fixed_shrinkage,core8,0.25,36,0.5,0.07724425887265135,60,900,576,0.64,0.6400000000000001,0.7,0.28475383362250256,900,0,-3
pure_local,core8,0.25,48,1.0,0.13319415448851774,60,900,558,0.62,0.62,0.6666666666666666,0.28265621982613975,900,0,-21
fixed_shrinkage,core8,0.25,48,0.1,0.13319415448851774,60,900,573,0.6366666666666667,0.6366666666666667,0.6666666666666666,0.29443680479020606,900,0,-6
fixed_shrinkage,core8,0.25,48,0.2,0.13319415448851774,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.291877916502552,900,0,-11
fixed_shrinkage,core8,0.25,48,0.3,0.13319415448851774,60,900,575,0.6388888888888888,0.638888888888889,0.6666666666666666,0.2821204793101737,900,0,-4
fixed_shrinkage,core8,0.25,48,0.4,0.13319415448851774,60,900,575,0.6388888888888888,0.638888888888889,0.7,0.28636080560293486,900,0,-4
fixed_shrinkage,core8,0.25,48,0.5,0.13319415448851774,60,900,575,0.6388888888888888,0.638888888888889,0.7,0.2837180284163522,900,0,-4
pure_local,core8,0.25,60,1.0,0.20542797494780793,60,900,562,0.6244444444444445,0.6244444444444444,0.6666666666666666,0.28123126288984385,900,0,-17
fixed_shrinkage,core8,0.25,60,0.1,0.20542797494780793,60,900,573,0.6366666666666667,0.6366666666666667,0.6666666666666666,0.29443680479020606,900,0,-6
fixed_shrinkage,core8,0.25,60,0.2,0.20542797494780793,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.2908437408764899,900,0,-11
fixed_shrinkage,core8,0.25,60,0.3,0.20542797494780793,60,900,573,0.6366666666666667,0.6366666666666667,0.7,0.28507771431928275,900,0,-6
fixed_shrinkage,core8,0.25,60,0.4,0.20542797494780793,60,900,578,0.6422222222222222,0.6422222222222221,0.7333333333333333,0.285220809605937,900,0,-1
fixed_shrinkage,core8,0.25,60,0.5,0.20542797494780793,60,900,576,0.64,0.64,0.7333333333333333,0.28422425564207554,900,0,-3
pure_local,wide12,0.01,36,1.0,0.07724425887265135,60,900,567,0.63,0.6300000000000001,0.7,0.28081801413397056,900,0,-12
fixed_shrinkage,wide12,0.01,36,0.1,0.07724425887265135,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.29569839234285566,900,0,-5
fixed_shrinkage,wide12,0.01,36,0.2,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555555,0.6666666666666666,0.29470318731340606,900,0,-7
fixed_shrinkage,wide12,0.01,36,0.3,0.07724425887265135,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.2934287637953602,900,0,-10
fixed_shrinkage,wide12,0.01,36,0.4,0.07724425887265135,60,900,571,0.6344444444444445,0.6344444444444444,0.7,0.2944538604897433,900,0,-8
fixed_shrinkage,wide12,0.01,36,0.5,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.7,0.28851199520083143,900,0,-9
pure_local,wide12,0.01,48,1.0,0.13319415448851774,60,900,564,0.6266666666666667,0.6266666666666667,0.6666666666666666,0.2788731697763201,900,0,-15
fixed_shrinkage,wide12,0.01,48,0.1,0.13319415448851774,60,900,573,0.6366666666666667,0.6366666666666667,0.6666666666666666,0.2949480467514336,900,0,-6
