coverage,cumulative_accuracy,correctness_lcb
0.02186343760511268,0.5384615384615384,0.5939168153317684
0.02203161789438278,0.5343511450381679,0.5938470812725087
0.022199798183652877,0.5303030303030303,0.5938175725425755
0.022367978472922972,0.5338345864661654,0.5937404479120085
0.02253615876219307,0.5373134328358209,0.5937008187715331
0.022704339051463168,0.5407407407407407,0.5932751200720027
0.022872519340733265,0.5367647058823529,0.5932747075919642
0.023040699630003363,0.5401459854014599,0.5931938703322052
0.02320887991927346,0.5434782608695652,0.5931293250582421
0.02337706020854356,0.539568345323741,0.5931204826726775
0.023545240497813657,0.5428571428571428,0.5930808068091515
0.023713420787083755,0.5390070921985816,0.5930223489077535
0.023881601076353853,0.5422535211267606,0.5928498670979789
0.02404978136562395,0.5384615384615384,0.5927379252894167
0.024217961654894045,0.5347222222222222,0.5926961674140652
0.024386141944164143,0.5379310344827586,0.5925133158111574
0.02455432223343424,0.5342465753424658,0.5922848567728489
0.02472250252270434,0.5374149659863946,0.5921834842995344
0.024890682811974436,0.5337837837837838,0.5920741067149946
0.025058863101244534,0.5369127516778524,0.5919881579365167
0.025227043390514632,0.54,0.5919431845656431
0.02539522367978473,0.5364238410596026,0.5919427687338273
0.025563403969054828,0.5394736842105263,0.5919128364749674
0.025731584258324926,0.5359477124183006,0.5917687617706598
0.02589976454759502,0.538961038961039,0.5916555899308014
0.026067944836865118,0.535483870967742,0.5910580936474575
0.026236125126135216,0.532051282051282,0.5910356260003632
0.026404305415405314,0.535031847133758,0.5909400893153558
0.02657248570467541,0.5379746835443038,0.5908816081672001
0.02674066599394551,0.5408805031446541,0.5908420706178106
0.026908846283215607,0.54375,0.5907356401862353
0.027077026572485705,0.546583850931677,0.5907179714879861
0.027245206861755803,0.5432098765432098,0.5905594606056361
0.0274133871510259,0.5398773006134969,0.5905392432130769
0.027581567440296,0.5426829268292683,0.590448535771658
0.027749747729566093,0.5454545454545454,0.590355516188269
0.02791792801883619,0.5481927710843374,0.5902157582177119
0.02808610830810629,0.5449101796407185,0.5901866654932306
0.028254288597376387,0.5476190476190477,0.5901421854671896
0.028422468886646485,0.5502958579881657,0.5901170328646184
0.028590649175916583,0.5470588235294118,0.5899313223388412
0.02875882946518668,0.543859649122807,0.5898952967982556
0.02892700975445678,0.5465116279069767,0.5898233493622203
0.029095190043726876,0.5433526011560693,0.5898071043680475
0.029263370332996974,0.5459770114942529,0.5897254836466361
0.029431550622267072,0.5428571428571428,0.5895936916349201
0.029599730911537166,0.5454545454545454,0.5895712518946742
0.029767911200807264,0.5480225988700564,0.5895241408987033
0.029936091490077362,0.550561797752809,0.5894340782776476
0.03010427177934746,0.547486033519553,0.5893893926666542
0.030272452068617558,0.55,0.5893533508817459
0.030440632357887656,0.5469613259668509,0.5891961163390221
0.030608812647157754,0.5439560439560439,0.5891343207113474
0.03077699293642785,0.5409836065573771,0.5890467697356209
0.03094517322569795,0.5434782608695652,0.5889791249982944
0.031113353514968047,0.5459459459459459,0.588879883514922
0.03128153380423814,0.543010752688172,0.5888517712400848
0.03144971409350824,0.5454545454545454,0.5888279890661312
0.03161789438277834,0.5478723404255319,0.5887303949126742
0.031786074672048435,0.5502645502645502,0.588722572842359
0.03195425496131853,0.5526315789473685,0.5886608970042462
0.03212243525058863,0.5549738219895288,0.5886366023408697
0.03229061553985873,0.5572916666666666,0.5885433049879356
0.03245879582912883,0.5595854922279793,0.5883537964690732
0.032626976118398925,0.5618556701030928,0.5883304775118195
0.03279515640766902,0.558974358974359,0.5881751311501686
