model,method,bucket,calls,average_probability,observed_accuracy,observed_wilson_ci95_low,observed_wilson_ci95_high,observed_wilson_lcb_95_one_sided
adaptive,causal_platt_score_rank,55-60%,95,0.5918495511428788,0.7052631578947368,0.6070505934821107,0.7875206771701055,0.6234983245035602
adaptive,causal_platt_score_rank,60-65%,1765,0.6260354695906595,0.6152974504249292,0.5923726856902414,0.6377214236322253,0.5960862825473799
adaptive,causal_platt_score_rank,65-70%,420,0.6676028944571395,0.6190476190476191,0.5717239362600408,0.6642133415094398,0.5794268693892034
adaptive,causal_platt_score_rank,70-75%,22,0.7092350488402248,0.5,0.3072210627372502,0.6927789372627497,0.33453731961804883
adaptive,causal_isotonic_score,<55%,147,0.412182347265747,0.7074829931972789,0.6294095751017774,0.7749885292185406,0.6424620286665939
adaptive,causal_isotonic_score,55-60%,827,0.5840422719531603,0.6178960096735188,0.5843066058282153,0.6503952111427208,0.5897620519889438
adaptive,causal_isotonic_score,60-65%,892,0.6163732557800099,0.5964125560538116,0.5638691326237751,0.6281291258922178,0.5691402132732546
adaptive,causal_isotonic_score,65-70%,217,0.6670718460324224,0.6175115207373272,0.5513375999278075,0.679597299127573,0.5621140268775804
adaptive,causal_isotonic_score,70-75%,173,0.7201346395861554,0.6705202312138728,0.5974421528971253,0.7361900190689644,0.6095104465781637
adaptive,causal_isotonic_score,>=75%,43,0.7961022766830692,0.6046511627906976,0.45579063062873904,0.7363468524170255,0.47933936833811724
