model,method,window,threshold,calls,coverage,accuracy
adaptive,causal_global_cohort,all,0.65,201,0.08731537793223285,0.582089552238806
adaptive,causal_global_cohort,all,0.7,20,0.008688097306689836,0.2
adaptive,causal_global_cohort,all,0.75,0,0.0,
adaptive,causal_global_cohort,tuning_early,0.5,309,1.0,0.598705501618123
adaptive,causal_global_cohort,tuning_early,0.55,309,1.0,0.598705501618123
adaptive,causal_global_cohort,tuning_early,0.6,309,1.0,0.598705501618123
adaptive,causal_global_cohort,tuning_early,0.65,148,0.47896440129449835,0.5743243243243243
adaptive,causal_global_cohort,tuning_early,0.7,20,0.06472491909385113,0.2
adaptive,causal_global_cohort,tuning_early,0.75,0,0.0,
adaptive,causal_global_cohort,tuning_late,0.5,519,1.0,0.6473988439306358
adaptive,causal_global_cohort,tuning_late,0.55,519,1.0,0.6473988439306358
adaptive,causal_global_cohort,tuning_late,0.6,519,1.0,0.6473988439306358
adaptive,causal_global_cohort,tuning_late,0.65,53,0.10211946050096339,0.6037735849056604
adaptive,causal_global_cohort,tuning_late,0.7,0,0.0,
adaptive,causal_global_cohort,tuning_late,0.75,0,0.0,
adaptive,causal_global_cohort,validation,0.5,675,1.0,0.5851851851851851
adaptive,causal_global_cohort,validation,0.55,675,1.0,0.5851851851851851
adaptive,causal_global_cohort,validation,0.6,675,1.0,0.5851851851851851
adaptive,causal_global_cohort,validation,0.65,0,0.0,
adaptive,causal_global_cohort,validation,0.7,0,0.0,
adaptive,causal_global_cohort,validation,0.75,0,0.0,
adaptive,causal_global_cohort,confirmation,0.5,799,1.0,0.6357947434292867
adaptive,causal_global_cohort,confirmation,0.55,799,1.0,0.6357947434292867
adaptive,causal_global_cohort,confirmation,0.6,799,1.0,0.6357947434292867
adaptive,causal_global_cohort,confirmation,0.65,0,0.0,
adaptive,causal_global_cohort,confirmation,0.7,0,0.0,
adaptive,causal_global_cohort,confirmation,0.75,0,0.0,
adaptive,causal_rank_beta,all,0.5,2302,1.0,0.6185925282363163
adaptive,causal_rank_beta,all,0.55,2302,1.0,0.6185925282363163
adaptive,causal_rank_beta,all,0.6,2181,0.9474370112945265,0.6143970655662541
adaptive,causal_rank_beta,all,0.65,563,0.24456993918331885,0.6198934280639432
adaptive,causal_rank_beta,all,0.7,93,0.04039965247610773,0.6021505376344086
adaptive,causal_rank_beta,all,0.75,0,0.0,
adaptive,causal_rank_beta,tuning_early,0.5,309,1.0,0.598705501618123
adaptive,causal_rank_beta,tuning_early,0.55,309,1.0,0.598705501618123
adaptive,causal_rank_beta,tuning_early,0.6,296,0.9579288025889967,0.5912162162162162
adaptive,causal_rank_beta,tuning_early,0.65,142,0.459546925566343,0.5915492957746479
adaptive,causal_rank_beta,tuning_early,0.7,42,0.13592233009708737,0.5476190476190477
adaptive,causal_rank_beta,tuning_early,0.75,0,0.0,
adaptive,causal_rank_beta,tuning_late,0.5,519,1.0,0.6473988439306358
adaptive,causal_rank_beta,tuning_late,0.55,519,1.0,0.6473988439306358
adaptive,causal_rank_beta,tuning_late,0.6,503,0.9691714836223507,0.6441351888667992
adaptive,causal_rank_beta,tuning_late,0.65,175,0.3371868978805395,0.6514285714285715
adaptive,causal_rank_beta,tuning_late,0.7,51,0.09826589595375723,0.6470588235294118
adaptive,causal_rank_beta,tuning_late,0.75,0,0.0,
adaptive,causal_rank_beta,validation,0.5,675,1.0,0.5851851851851851
adaptive,causal_rank_beta,validation,0.55,675,1.0,0.5851851851851851
adaptive,causal_rank_beta,validation,0.6,614,0.9096296296296297,0.5781758957654723
adaptive,causal_rank_beta,validation,0.65,111,0.16444444444444445,0.5585585585585585
adaptive,causal_rank_beta,validation,0.7,0,0.0,
adaptive,causal_rank_beta,validation,0.75,0,0.0,
adaptive,causal_rank_beta,confirmation,0.5,799,1.0,0.6357947434292867
adaptive,causal_rank_beta,confirmation,0.55,799,1.0,0.6357947434292867
adaptive,causal_rank_beta,confirmation,0.6,768,0.9612015018773467,0.6328125
adaptive,causal_rank_beta,confirmation,0.65,135,0.16896120150187735,0.6592592592592592
adaptive,causal_rank_beta,confirmation,0.7,0,0.0,
adaptive,causal_rank_beta,confirmation,0.75,0,0.0,
adaptive,causal_regime_beta,all,0.5,2283,0.9917463075586447,0.6189224704336399
adaptive,causal_regime_beta,all,0.55,2034,0.8835794960903562,0.6047197640117994
adaptive,causal_regime_beta,all,0.6,1391,0.604257167680278,0.6117900790797987
adaptive,causal_regime_beta,all,0.65,1005,0.4365768896611642,0.6238805970149254
adaptive,causal_regime_beta,all,0.7,20,0.008688097306689836,0.2
adaptive,causal_regime_beta,all,0.75,0,0.0,
adaptive,causal_regime_beta,tuning_early,0.5,290,0.9385113268608414,0.6
adaptive,causal_regime_beta,tuning_early,0.55,254,0.8220064724919094,0.5866141732283464
adaptive,causal_regime_beta,tuning_early,0.6,216,0.6990291262135923,0.5416666666666666
adaptive,causal_regime_beta,tuning_early,0.65,216,0.6990291262135923,0.5416666666666666
adaptive,causal_regime_beta,tuning_early,0.7,20,0.06472491909385113,0.2
adaptive,causal_regime_beta,tuning_early,0.75,0,0.0,
adaptive,causal_regime_beta,tuning_late,0.5,519,1.0,0.6473988439306358
adaptive,causal_regime_beta,tuning_late,0.55,448,0.8631984585741811,0.6540178571428571
adaptive,causal_regime_beta,tuning_late,0.6,359,0.6917148362235067,0.6740947075208914
adaptive,causal_regime_beta,tuning_late,0.65,310,0.5973025048169557,0.7
adaptive,causal_regime_beta,tuning_late,0.7,0,0.0,
adaptive,causal_regime_beta,tuning_late,0.75,0,0.0,
adaptive,causal_regime_beta,validation,0.5,675,1.0,0.5851851851851851
adaptive,causal_regime_beta,validation,0.55,675,1.0,0.5851851851851851
adaptive,causal_regime_beta,validation,0.6,381,0.5644444444444444,0.5538057742782152
adaptive,causal_regime_beta,validation,0.65,76,0.11259259259259259,0.2631578947368421
adaptive,causal_regime_beta,validation,0.7,0,0.0,
adaptive,causal_regime_beta,validation,0.75,0,0.0,
