model,slice,calls,accuracy,mean_probability,auc,brier,log_loss,ece,calibration_intercept,calibration_slope,spearman
adaptive,rank_group:11_15,735,0.6108843537414966,0.6215075782303382,0.4950316943635429,0.23948459517768572,0.6720266421861743,0.04001615127286291,0.5611864459777398,-0.22017640029962657,-0.008391086103683408
adaptive,rank_group:6_10,735,0.6190476190476191,0.6448527372463562,0.47883830455259024,0.23945700457698738,0.6723337164073303,0.07584346530920373,0.8866852044890601,-0.6665862097980523,-0.03559908698984842
adaptive,rank_group:16_plus,340,0.6176470588235294,0.6045740149791639,0.47893772893772896,0.23889502239656668,0.6707774098272299,0.05278780327316307,0.6947913361740229,-0.5026367431710288,-0.03545684636716457
adaptive,rank_group:4_5,294,0.6224489795918368,0.6661247410102572,0.50125535371437,0.23922523871979398,0.6724536570649723,0.06413959604622517,0.6230746313443142,-0.17622805431014368,0.0021081375843873336
adaptive,rank_group:1_3,441,0.6621315192743764,0.6937319943222142,0.512020777787993,0.22644972900604393,0.6461464564672835,0.040197164487652204,0.5284258731477351,0.17460704824590811,0.0196956482305544
adaptive,indicator_id:X17,22,0.5909090909090909,0.6511517393874041,0.7692307692307693,0.23609634247232814,0.6640140636971892,0.06024264847831318,-10.17270242443921,17.07041430868865,0.45902324683737294
adaptive,indicator_id:X18,33,0.5757575757575758,0.6806353744971468,0.6052631578947368,0.25139113182853573,0.6968258295772266,0.10487779873957104,-1.621464250949034,2.5480848530995273,0.18029902922112612
adaptive,indicator_id:X19,26,0.6153846153846154,0.6597337529791395,0.5625,0.23564064129495355,0.6646190685909262,0.11041335367659003,-0.8530334774531957,2.001766540322369,0.10540925533894596
adaptive,indicator_id:X21,64,0.59375,0.652603152031054,0.4919028340080972,0.24409445498417892,0.6818104841359012,0.058853152031054026,-0.09673880496293114,0.7537280150305217,-0.01377765116429677
adaptive,indicator_id:X23,136,0.6397058823529411,0.6341606033215174,0.47595589960121976,0.23398159922569556,0.660985012998838,0.04155194956668539,1.0721264958296974,-0.8958409722278458,-0.03998799731415743
adaptive,indicator_id:X24,144,0.6180555555555556,0.6495544662639675,0.491726251276813,0.23868943523638966,0.6707220630830732,0.07116598173765541,0.6170773753228396,-0.21856757188482676,-0.013925707802799931
